,Index Name,ind_close_all_22042025.csv,ind_close_all_21042025.csv,ind_close_all_17042025.csv,ind_close_all_16042025.csv,ind_close_all_15042025.csv,ind_close_all_11042025.csv,ind_close_all_09042025.csv,ind_close_all_08042025.csv,ind_close_all_07042025.csv,ind_close_all_04042025.csv,ind_close_all_03042025.csv,ind_close_all_02042025.csv,ind_close_all_01042025.csv
0,Nifty 50,.17,1.15,1.77,.47,2.19,1.92,-.61,1.69,-3.24,-1.49,-.35,.72,-1.5
1,Nifty Next 50,.22,1.79,.72,.67,3.09,1.33,-.24,2.12,-3.13,-2.59,.03,1.15,-1.06
2,Nifty 100,.18,1.26,1.59,.5,2.35,1.82,-.54,1.76,-3.22,-1.68,-.29,.79,-1.43
3,Nifty 200,.28,1.46,1.42,.54,2.44,1.82,-.54,1.82,-3.29,-1.88,-.21,.93,-1.34
4,Nifty 500,.36,1.5,1.3,.59,2.54,1.95,-.61,1.87,-3.36,-2.06,-.1,.92,-1.26
5,Nifty Midcap 50,1.06,2.45,.63,.52,2.75,1.68,-.23,2.24,-3.39,-2.87,-.04,1.69,-.96
6,NIFTY Midcap 100,.78,2.5,.6,.71,2.92,1.85,-.51,2.11,-3.63,-2.91,.21,1.61,-.86
7,NIFTY Smallcap 100,.73,2.21,.37,1.05,3.08,2.88,-.86,2.13,-3.88,-3.56,.58,1.12,-.7
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.36,2.12,1.03,-.43,3.39,2.03,.01,1.63,-3.78,-2.7,-1.14,.82,-.28
10,Nifty Bank,.62,1.87,2.21,1.41,2.7,1.52,-.54,1.31,-3.19,-.18,.49,1.02,-1.43
11,Nifty Energy,-.36,2.5,1.02,1.06,2.15,2.7,-.97,1.44,-2.77,-3.73,.29,.52,-.84
12,Nifty Financial Services,.72,1.39,2.27,.84,2.95,1.75,-.69,1.64,-3.49,.2,-.1,.9,-2.18
13,Nifty FMCG,1.89,-.96,.58,.8,.28,.86,1.78,1.99,-1.1,.04,.19,1.13,-.91
14,Nifty IT,-.57,2.29,.23,.06,1.63,.69,-2.19,1.76,-2.51,-3.58,-4.21,.84,-2.45
15,Nifty Media,.15,.96,.23,1.88,2.97,1.66,-1.22,4.72,-3.94,-2.97,1.09,.61,2.24
16,Nifty Metal,.18,2.09,.26,.3,3.2,4.09,-1.48,1.52,-6.75,-6.56,-.82,.7,-.83
17,Nifty MNC,.82,.65,.75,.35,1.97,1.34,.75,1.38,-1.57,-2.49,-.09,.64,-1.17
18,Nifty Pharma,.41,1.06,1.21,-.18,2.2,2.43,-1.97,1.91,-2.75,-4.03,2.25,.87,-1.73
19,Nifty PSU Bank,.75,2.47,1.64,2.37,1.57,1.29,-2.52,2.64,-2.84,-2.43,1.94,.74,-.14
20,Nifty Realty,2.42,2.25,.51,.72,5.64,1.26,-1.9,2.47,-5.69,-3.6,-.1,3.61,-3.11
21,Nifty India Consumption,.7,.59,1.43,.54,1.7,1.29,.66,1.95,-2.72,-.8,.02,1.55,-.54
22,Nifty Commodities,-.16,1.5,.82,.39,2.08,2.99,-.51,1.67,-3.7,-3.65,.16,.44,-.71
23,Nifty Dividend Opportunities 50,.13,1.59,.77,.67,1.51,1.43,-.82,1.89,-2.36,-2.6,-.72,.62,-1.01
24,Nifty Infrastructure,-.49,1.11,1.79,.36,2.43,2.03,-.28,1.88,-3.3,-2.64,.24,.54,-.81
25,Nifty PSE,-.37,2.03,.61,.79,1.9,2.46,-.46,1.86,-2.49,-3.11,1.03,.12,-.41
26,Nifty Services Sector,.18,1.28,2.01,.69,2.34,1.56,-.73,1.59,-3,-.65,-.66,.99,-1.87
27,Nifty50 Shariah,.1,.93,1.01,.79,1.21,1.15,-.52,1.51,-2.56,-2.27,-.56,.49,-.83
28,Nifty500 Shariah,.48,1.47,.71,.63,2.17,1.85,-.6,1.71,-3.05,-2.9,-.42,.89,-1.02
29,Nifty Low Volatility 50,.33,.76,.93,.44,1.8,1.48,.15,1.88,-2.52,-1.43,-.04,.98,-1.15
30,Nifty Alpha 50,1.21,2.32,.32,1,3.57,2.98,-1.31,2.93,-4.3,-3.64,.65,1.73,-1.53
31,Nifty High Beta 50,-.13,2.68,.81,1.33,3.5,1.72,-.81,2.45,-4.25,-3.52,1.24,1.16,.39
32,Nifty100 Equal Weight,.06,1.52,1.02,.7,2.64,1.66,-.47,2,-3.18,-2.4,.02,.92,-.87
33,Nifty100 Liquid 15,-.31,1.55,2.3,.45,2.06,2.63,-.98,1.78,-3.73,-1.8,-.13,.87,-.59
34,Nifty CPSE,-.51,1.85,.76,.82,1.21,3.1,-.57,1.68,-1.88,-3.33,1.21,-.39,-.87
35,Nifty50 Value 20,-.22,1.16,1.29,.3,1.68,1.55,-.92,1.63,-2.63,-2.31,-1.01,.59,-1.19
36,Nifty Midcap Liquid 15,.84,3.43,1.01,.13,3.78,2.38,-.64,3.16,-3.76,-3.89,-1.14,2.27,-1.32
37,Nifty Shariah 25,.46,1.13,.66,.69,1.56,1.3,-.17,1.8,-1.88,-2.45,-.98,.64,-1.32
38,India VIX,-1.84,.31,-2.51,-1.61,-19.81,-6.17,4.83,-10.31,65.7,1.14,-.89,-.44,8.37
39,Nifty Growth Sectors 15,.5,1.52,.81,.24,1.7,1.63,-.34,1.99,-2.52,-2.23,-.76,1.08,-1.49
40,Nifty50 TR 1x Inverse,-.14,-1.11,-1.74,-.45,-2.13,-1.9,.62,-1.67,3.31,1.5,.36,-.69,1.57
41,Nifty50 TR 2x Leverage,.33,2.23,3.52,.92,4.32,3.8,-1.23,3.36,-6.54,-2.99,-.72,1.42,-3.07
42,Nifty50 PR 1x Inverse,-.17,-1.08,-1.76,-.44,-2.14,-1.88,.62,-1.66,3.28,1.51,.37,-.71,1.58
43,Nifty50 PR 2x Leverage,.33,2.23,3.52,.92,4.32,3.8,-1.23,3.36,-6.54,-2.99,-.72,1.42,-3.07
44,NIFTY100 Quality 30,.33,.87,.4,.44,1.71,1.37,.13,1.84,-2.05,-1.82,-.47,.52,-1.19
45,Nifty Mahindra Group,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,.16,1.29,1.8,.41,1.92,1.98,-.65,1.67,-2.97,-1.56,-.46,.52,-1.26
47,Nifty Tata Group,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,
49,Nifty Private Bank,.34,2.13,2.23,1.74,2.82,1.54,-.32,1.27,-3.47,-.13,.32,.74,-1.21
50,Nifty Smallcap 250,.8,1.94,.45,.94,3.06,3.07,-1.05,2.17,-3.99,-3.3,.7,1,-.49
51,Nifty Smallcap 50,.88,2.54,.3,1.03,3.05,2.87,-.87,2.05,-3.29,-3.61,.68,1.28,-.92
52,Nifty MidSmallcap 400,.83,2.12,.54,.81,3.04,2.29,-.77,2.14,-3.73,-3.06,.37,1.27,-.81
53,Nifty Midcap 150,.85,2.21,.58,.74,3.03,1.87,-.62,2.12,-3.59,-2.93,.2,1.42,-.99
54,Nifty Midcap Select,1.2,2.44,.88,.23,2.8,1.86,-.18,2.53,-3.69,-2.89,-.8,1.95,-1.4
55,NIFTY LargeMidcap 250,.52,1.74,1.08,.62,2.69,1.84,-.58,1.94,-3.41,-2.31,-.04,1.11,-1.21
56,NIFTY SME EMERGE,.36,1.41,.76,-.04,2.73,2.23,.01,2.12,-4.09,-1.67,2.23,1.47,1.95
57,Nifty Oil & Gas,-.04,2.38,1.23,1.33,1.57,2.2,-.27,2.2,-2.79,-3.78,-.49,.25,.08
58,Nifty Financial Services 25/50,.33,1.58,2.05,.91,3.28,1.64,-.84,2.16,-3.66,-.35,-.03,.78,-1.89
59,Nifty Healthcare Index,.8,.79,1.16,-.18,1.88,1.53,-1.04,1.65,-2.81,-3.05,1.98,.79,-1.51
60,Nifty500 Multicap 50:25:25,.51,1.67,1.05,.67,2.7,2.14,-.69,1.95,-3.51,-2.4,.08,1,-1.08
61,Nifty Microcap 250,.86,1.49,.74,.82,3.24,3.44,-1.29,2.41,-4.33,-3.64,1.04,.69,.77
62,Nifty Total Market,.38,1.5,1.27,.6,2.56,2,-.63,1.89,-3.4,-2.12,-.06,.92,-1.19
63,Nifty India Digital,-.14,2.35,.6,.6,2.46,1.83,-1.86,2.4,-2.83,-3.07,-2.16,1.68,-1.31
64,Nifty Mobility,.19,1.72,1.51,-.01,3.11,1.87,-.06,2.09,-3.15,-2.53,-.73,1.2,-.26
65,Nifty India Defence,.83,2.05,.24,.69,4.36,2.67,-.2,2.44,-4.61,-3.14,2.08,-.06,-.9
66,Nifty Financial Services Ex-Bank,-.16,2.34,1.06,.58,3.53,1.93,-1.02,3.34,-3.62,-1.38,.05,.91,-1.57
67,Nifty Housing,.48,1.33,1.12,.48,2.97,2.07,-.86,1.69,-3.79,-2.37,.58,.8,-1.54
68,Nifty Transportation & Logistics,.4,1.74,1.55,-.2,3.16,1.93,-.16,1.85,-3.11,-2.33,-.81,1.23,-.33
69,Nifty MidSmall Financial Services,.31,3.46,.63,1.54,3.31,1.45,-.66,3.03,-3.44,-2.32,1.29,1.31,-.47
70,Nifty MidSmall Healthcare,1.45,.67,.61,.23,1.99,1.7,-.68,1.77,-3.4,-2.85,1.83,.53,-1.99
71,Nifty MidSmall IT & Telecom,.2,3.63,1.2,.02,3.27,1.87,-1.83,1.92,-3.75,-3.73,-3.61,1.42,-.45
72,Nifty MidSmall India Consumption,1.98,.97,.26,.87,2.21,1.33,.39,1.79,-3.13,-1.63,.71,1.43,-1.24
73,Nifty REITs & InvITs,.6,.38,-.09,.24,.26,.1,.13,-.01,-1.48,.19,.75,.43,.23
74,Nifty Consumer Durables,1.5,.98,.57,.6,2,3.19,.23,2.59,-2.2,-2.76,.35,2.51,-2.5
75,Nifty Non-Cyclical Consumer,.91,.23,1.33,.79,1.43,1.43,.67,2.13,-2.36,-.79,.1,1.73,-.61
76,Nifty India Manufacturing,.35,1.97,.86,.01,2.83,2.69,-.58,1.72,-3.69,-3.77,-.05,.8,-.99
77,NIFTY100 Alpha 30,.25,2.15,1.49,.46,2.91,2.39,-.73,2.09,-4.15,-1.98,-.62,.98,-1.64
78,NIFTY500 Value 50,-.29,2.16,.7,.93,2.28,2.68,-.99,1.87,-3.58,-3.99,.22,.53,0
79,Nifty100 Low Volatility 30,.06,.62,1.2,.38,1.8,1.22,-.04,1.67,-2.24,-1.41,-.29,.64,-1.19
80,NIFTY Alpha Low-Volatility 30,.39,1.02,1.08,.13,2.22,1.29,-.41,1.79,-2.22,-2.01,.02,1.15,-1.27
81,NIFTY Quality Low-Volatility 30,.62,.34,.93,.56,1.52,1.5,.47,1.81,-1.97,-1.34,-.2,.77,-1.11
82,NIFTY Alpha Quality Low-Volatility 30,.59,.53,.53,.23,1.76,1.26,.22,1.65,-1.85,-1.74,-.04,.69,-1.2
83,NIFTY Alpha Quality Value Low-Volatility 30,.37,.94,.74,.38,1.87,1.45,-.02,1.87,-2.47,-2.1,-.07,.58,-1.02
84,NIFTY200 Quality 30,.6,.92,.43,.49,1.62,1.47,.31,1.9,-2.2,-1.88,-.75,.68,-1.23
85,NIFTY Midcap150 Quality 50,1.23,1.71,.52,.52,3.25,2.03,-.63,2.08,-3.49,-2.99,-.43,1.41,-1.4
86,Nifty200 Momentum 30,.53,2.33,1.04,.41,2.8,2.34,-1.4,2.25,-3.48,-3.13,-1.16,1.71,-1.82
87,Nifty100 ESG Sector Leaders,.09,1.15,1.71,.49,2.56,1.77,-.53,1.74,-3.24,-1.65,-.22,.77,-1.54
88,Nifty200 Alpha 30,.55,2.65,.75,.67,2.98,2.32,-1.16,2.7,-3.87,-2.49,-.24,1.7,-1.36
89,Nifty Midcap150 Momentum 50,1.02,2.19,.74,.54,3.28,2.05,-.83,2.77,-3.79,-3.31,-.46,1.97,-1.66
90,Nifty Smallcap250 Quality 50,.77,2.12,.18,.31,2.92,2.54,-.78,1.72,-3.75,-3.32,.48,1.03,-.66
91,NIFTY100 ESG,-.06,1.48,1.15,.74,2.79,1.6,-.63,2.03,-3.14,-1.86,-.34,.81,-1.35
92,NIFTY100 Enhanced ESG,-.05,1.47,1.15,.74,2.8,1.59,-.64,2.03,-3.15,-1.86,-.36,.81,-1.35
93,NIFTY50 Equal Weight,-.17,1.29,1.29,.65,2.23,2.1,-.63,2.01,-3.26,-2.18,-.1,.72,-.72
94,Nifty 50 Futures Index,.14,1.22,1.78,.4,1.85,1.95,-.67,1.65,-3.02,-1.58,-.48,.5,-1.34
95,Nifty 50 Arbitrage,.03,-.01,0,.05,.24,-.01,.04,.03,-.13,.07,.09,.15,-.09
96,Nifty Aditya Birla Group,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,-.05,.35,.2,.19,.21,.05,.23,.13,-.13,.25,-.11,.62,.02
98,Nifty 4-8 yr G-Sec Index,-.03,.16,.12,.25,.19,.13,.22,.08,-.09,.21,-.02,.41,.02
99,Nifty 11-15 yr G-Sec Index,.09,.55,.14,.24,.2,-.01,.16,.14,-.1,.31,-.11,.78,.02
100,Nifty 15 yr and above G-Sec Index,.57,.55,.01,.03,.2,.09,.12,-.09,-.19,.21,-.21,.84,.02
101,Nifty Composite G-sec Index,.1,.42,.14,.17,.2,.05,.2,.09,-.14,.25,-.12,.68,.02
102,Nifty 10 yr Benchmark G-Sec,-.02,.38,.17,.16,.22,.03,.21,.11,-.12,.23,-.08,.66,.02
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.04,.36,.15,.14,.2,.01,.19,.09,-.13,.22,-.1,.66,0
104,Nifty 1D Rate Index,.02,.06,.02,.02,.06,.03,.02,.02,.05,.02,.02,.09,.07
105,Nifty50 USD,,1.43,2.14,.57,2.53,2.68,-1.1,1.19,-3.92,-1.25,-.28,.67,-1.5
