,Index Name,ind_close_all_20122024.csv,ind_close_all_19122024.csv,ind_close_all_18122024.csv,ind_close_all_17122024.csv,ind_close_all_16122024.csv,ind_close_all_13122024.csv,ind_close_all_12122024.csv,ind_close_all_11122024.csv,ind_close_all_10122024.csv,ind_close_all_09122024.csv,ind_close_all_06122024.csv,ind_close_all_05122024.csv,ind_close_all_04122024.csv,ind_close_all_03122024.csv,ind_close_all_02122024.csv
0,Nifty 50,-1.52,-1.02,-.56,-1.35,-.4,.89,-.38,.13,-.04,-.24,-.12,.98,.04,.75,.6
1,Nifty Next 50,-2.72,-.88,-1.3,-1.32,.26,-.16,-.29,.27,.53,-.45,.76,.34,.49,1.02,.62
2,Nifty 100,-1.75,-1.01,-.73,-1.29,-.28,.7,-.35,.14,.02,-.27,.02,.9,.14,.77,.58
3,Nifty 200,-1.94,-.88,-.71,-1.17,-.1,.57,-.37,.16,.06,-.14,.1,.85,.29,.79,.66
4,Nifty 500,-1.9,-.79,-.7,-1.1,-.03,.44,-.44,.19,.1,-.09,.15,.77,.34,.81,.66
5,Nifty Midcap 50,-2.71,-.36,-.66,-.5,.71,-.05,-.44,.32,.45,.53,.32,.33,1,.83,1.44
6,NIFTY Midcap 100,-2.82,-.28,-.64,-.57,.77,-.05,-.46,.27,.23,.5,.45,.57,1.05,.89,1.08
7,NIFTY Smallcap 100,-2.19,-.51,-.87,-.68,.64,-.3,-.97,.38,.28,.19,.82,.83,.89,.84,1.04
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-2.13,-.73,-.75,-1.57,.07,.48,-.8,.36,-.03,-.77,.94,.65,-.71,.65,.99
10,Nifty Bank,-1.58,-1.08,-1.32,-1.39,0,.69,-.33,-.35,.32,-.19,-.18,.63,1.08,1.13,.1
11,Nifty Energy,-2.01,-.98,-1.08,-1.61,-.6,.46,-.76,-.38,-.63,-.41,-.11,.39,-.73,1.12,.3
12,Nifty Financial Services,-1.32,-1.21,-1.23,-1.44,-.09,.62,-.31,0,.33,.08,-.11,.69,1.1,.93,.26
13,Nifty FMCG,-.99,-.55,0,-.41,-.3,1.29,-1.09,.42,.12,-2.22,.24,.58,-.73,-.39,-.05
14,Nifty IT,-2.63,-1.26,.25,-.53,-.74,.64,.77,.33,.82,.26,-.2,1.95,.44,.48,.93
15,Nifty Media,-1.7,-.89,-2.24,.02,1.45,-.59,-2.29,-.51,-.68,-2.02,-.33,0,.75,2.53,1.02
16,Nifty Metal,-1.83,-1.02,-1.36,-1.63,-.97,-.72,.25,.09,.21,.62,1.23,.57,-.17,1.23,1.1
17,Nifty MNC,-2.25,-.61,-.7,-1.2,-.01,.43,-.56,.93,.02,-.75,.55,.28,-.26,1.01,.52
18,Nifty Pharma,-.86,1.72,1.09,-.81,.44,-.32,-.33,.05,-.08,-.56,-.13,.18,-.1,-.02,.94
19,Nifty PSU Bank,-2.65,-.59,-1.92,-1.82,.51,-.18,-.78,-.89,.53,-.56,.42,-.12,2.25,2.6,-.2
20,Nifty Realty,-3.91,-.82,-.47,-.09,3.1,-.44,-.41,.18,1.43,.28,-.05,-.25,2.14,.32,3.04
21,Nifty India Consumption,-1.66,-.6,-.2,-.95,-.16,1.17,-.49,.37,-.18,-.97,.28,1.14,-.42,.04,.81
22,Nifty Commodities,-1.93,-.86,-1.2,-1.63,-.74,.06,-.33,.05,-.16,-.02,.4,.29,-.19,1.17,.97
23,Nifty Dividend Opportunities 50,-2.02,-.79,-.75,-1.2,-.49,.49,-.48,.28,.29,-.3,.35,1.03,.15,.85,.31
24,Nifty Infrastructure,-2.08,-.73,-.89,-1.72,-.28,1.19,-.65,.05,-.5,.13,-.04,.81,-.45,1.15,.8
25,Nifty PSE,-2.43,-.55,-2.16,-1.58,-.23,.14,-1.08,.11,-.01,.26,.48,.28,.23,1.23,-.2
26,Nifty Services Sector,-1.5,-1.24,-.94,-1.2,-.34,.92,.02,.06,.18,-.01,-.3,1.17,.62,.82,.52
27,Nifty50 Shariah,-1.73,-.41,.28,-1.22,-.65,.72,-.52,.53,-.24,-.78,-.25,1.24,-.06,.47,.7
28,Nifty500 Shariah,-2.02,-.41,-.26,-1.03,.02,.18,-.53,.38,.15,-.3,.05,.67,.31,.68,.74
29,Nifty Low Volatility 50,-1.35,-.47,-.17,-1.31,-.22,.72,-.45,.31,.12,-.67,-.1,.59,.18,.48,.68
30,Nifty Alpha 50,-2.86,-.49,-.97,-.56,1.01,-.57,-.49,.58,-.29,.17,1.28,.92,.94,.74,1.25
31,Nifty High Beta 50,-2.82,-.97,-1.72,-1.47,.11,-.38,-.91,-.07,.03,.11,.6,.25,.62,1.76,.22
32,Nifty100 Equal Weight,-2.18,-.68,-.92,-1.25,-.07,.2,-.31,.31,.08,-.28,.32,.55,.19,.86,.46
33,Nifty100 Liquid 15,-1.79,-.83,-.98,-1.66,-.33,1.24,-.32,.21,-.08,-.33,-.1,.97,-.69,.72,.75
34,Nifty CPSE,-2.19,-.91,-1.94,-1.52,-.18,.4,-1.01,-.17,-.35,-.06,.1,.12,-.24,1.38,-.21
35,Nifty50 Value 20,-1.38,-1.13,-.46,-1.03,-.45,.78,-.15,.15,.33,-.29,-.13,1.18,.02,.55,.51
36,Nifty Midcap Liquid 15,-2.79,-.15,-.51,-.84,1.15,.51,-.52,.36,.49,.19,.17,-.02,1.03,.99,.93
37,Nifty Shariah 25,-1.93,-.4,-.04,-1.22,-.36,.64,-.41,.34,.06,-.92,-.25,.96,.07,.74,.63
38,India VIX,3.88,.96,-.78,3.32,7.41,-1.04,-.58,-3.7,-2.34,-.23,-2.67,.54,.54,-2.23,1.91
39,Nifty Growth Sectors 15,-1.47,-.92,.02,-.79,-.63,1,-.37,.3,.26,-.74,.11,1.32,-.18,.33,.67
40,Nifty50 TR 1x Inverse,1.53,1.05,.59,1.34,.48,-.89,.39,-.09,.03,.3,.15,-.98,0,-.73,-.56
41,Nifty50 TR 2x Leverage,-3.06,-2.06,-1.15,-2.71,-.86,1.77,-.77,.24,-.09,-.53,-.27,1.95,.07,1.47,1.15
42,Nifty50 PR 1x Inverse,1.53,1.04,.58,1.38,.45,-.86,.39,-.12,.05,.3,.15,-.96,-.02,-.73,-.56
43,Nifty50 PR 2x Leverage,-3.06,-2.06,-1.15,-2.71,-.86,1.77,-.77,.24,-.09,-.53,-.27,1.95,.07,1.47,1.15
44,NIFTY100 Quality 30,-1.73,-1.1,-.43,-1.24,-.29,.71,-.45,.56,.28,-.94,-.07,.68,-.07,.25,.5
45,Nifty Mahindra Group,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-1.63,-.96,-.64,-1.28,-.31,.76,-.33,.23,-.03,-.3,.1,.84,.08,.5,.57
47,Nifty Tata Group,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,
49,Nifty Private Bank,-1.75,-1.07,-1.11,-1.38,.07,.8,-.43,-.25,.14,-.28,-.01,.69,.86,.86,.05
50,Nifty Smallcap 250,-2.01,-.34,-.68,-.56,.44,-.36,-.93,.28,.29,.37,.54,.48,.76,.94,.7
51,Nifty Smallcap 50,-2.75,-.42,-.89,-.84,.39,-.18,-1.14,.15,.16,.1,.84,1.32,.58,.92,1.18
52,Nifty MidSmallcap 400,-2.27,-.28,-.63,-.62,.6,-.2,-.66,.31,.28,.38,.46,.45,.85,.9,.86
53,Nifty Midcap 150,-2.41,-.24,-.6,-.66,.69,-.1,-.5,.32,.28,.38,.41,.43,.91,.88,.95
54,Nifty Midcap Select,-2.64,-.03,-.45,-.88,.56,.48,-.48,.37,.74,.23,.19,.06,.89,.68,.85
55,NIFTY LargeMidcap 250,-2.09,-.61,-.66,-.97,.21,.29,-.42,.23,.15,.06,.22,.66,.53,.83,.77
56,NIFTY SME EMERGE,-1.64,.11,-.95,1.04,.47,-.14,.04,.21,-.22,.31,1.28,.68,.99,1.87,.33
57,Nifty Oil & Gas,-1.65,-.36,-.84,-1.61,-.58,.34,-.91,.02,-.26,-.63,.03,.74,-.29,1.16,.31
58,Nifty Financial Services 25/50,-1.52,-1.09,-1.23,-1.55,-.07,.27,-.36,.18,.41,.11,.1,.54,1.1,.86,.21
59,Nifty Healthcare Index,-.82,1.26,.62,-.54,.35,-.08,-.32,.37,.05,-.5,-.06,.48,.22,.13,1.3
60,Nifty500 Multicap 50:25:25,-1.99,-.64,-.68,-.95,.15,.23,-.53,.22,.16,.05,.25,.68,.49,.84,.7
61,Nifty Microcap 250,-2.27,-.17,-.98,-.39,.77,-.33,-1.18,.42,.66,.47,.63,.18,.64,1.23,.82
62,Nifty Total Market,-1.92,-.77,-.71,-1.07,0,.41,-.46,.19,.12,-.06,.17,.75,.35,.83,.66
63,Nifty India Digital,-2.78,-1,-.21,-.34,.22,.75,.04,.13,.68,-.15,.54,1.42,.78,.29,1.13
64,Nifty Mobility,-1.99,-.51,-.86,-1.28,.12,.43,-.89,.06,-.25,-.6,.59,.92,-.34,.83,.85
65,Nifty India Defence,-2.81,-1.23,-2.49,.02,1.36,-.37,-.11,.43,-.29,.76,-.01,.46,1.47,.72,.2
66,Nifty Financial Services Ex-Bank,-2.35,-.68,-1.3,-1.24,.16,-.42,-.52,1,.58,.57,.74,.83,1.27,.93,.28
67,Nifty Housing,-2.08,-1.13,-1.15,-1.35,-.04,.36,-.28,.09,-.05,.32,.15,.34,.4,1.15,.96
68,Nifty Transportation & Logistics,-2.13,-.64,-.87,-1.22,.21,.4,-.91,.1,-.19,-.59,.71,.93,-.23,.76,.84
69,Nifty MidSmall Financial Services,-3.41,.11,-.97,-.97,.74,-.46,-.5,.12,.37,.63,1.09,1.59,1.91,.77,.35
70,Nifty MidSmall Healthcare,-1.36,.57,.45,-.12,.27,-.6,-.17,.14,.1,-.08,.03,.46,.84,.24,1.41
71,Nifty MidSmall IT & Telecom,-3.71,.33,-.45,-.62,.33,.51,-.26,.29,.49,.36,.6,.83,.48,1.35,1.05
72,Nifty MidSmall India Consumption,-2.28,-.36,-.25,-.31,1.29,.41,-.22,.47,.65,.19,.45,.2,.88,.47,2.07
73,Nifty REITs & InvITs,-1.67,-.13,.41,-.46,-.21,.04,.27,-.79,.12,.37,-.12,.43,-.22,-.03,-.33
74,Nifty Consumer Durables,-1.58,-1.1,-.49,-1.12,.52,.97,-.59,.57,.27,.47,1.09,.52,.77,.47,2.08
75,Nifty Non-Cyclical Consumer,-1.55,-.69,-.25,-.75,.03,1.31,-.7,.42,-.05,-1.23,.24,1.13,-.25,-.09,.69
76,Nifty India Manufacturing,-2.13,-.46,-.64,-1.29,.19,.07,-.55,.23,.04,-.12,.46,.37,-.14,.6,1.1
77,NIFTY100 Alpha 30,-2.55,-.42,-.97,-1.31,.09,.39,-.74,.59,-.16,-.39,.98,.99,-.18,.32,.55
78,NIFTY500 Value 50,-2.37,-.55,-1.69,-1.62,-.29,-.17,-.79,.15,.16,-.18,.75,.2,.42,1.48,.47
79,Nifty100 Low Volatility 30,-1.08,-.42,-.05,-1.23,-.35,.96,-.57,.39,.06,-.4,-.14,.9,-.08,.38,.68
80,NIFTY Alpha Low-Volatility 30,-1.56,-.32,-.28,-1.59,-.25,.82,-.62,.39,-.11,-.56,.26,.63,-.17,.83,.65
81,NIFTY Quality Low-Volatility 30,-1.33,-.66,-.13,-1.29,-.27,.83,-.51,.54,.39,-.86,-.05,.76,-.1,.22,.53
82,NIFTY Alpha Quality Low-Volatility 30,-1.91,-.29,-.35,-1.4,.05,.75,-.54,.57,.07,-.7,.11,.57,-.24,.48,.68
83,NIFTY Alpha Quality Value Low-Volatility 30,-1.84,-.48,-.51,-1.33,-.16,.46,-.52,.56,.08,-.39,.16,.67,-.04,.48,.62
84,NIFTY200 Quality 30,-1.97,-.85,-.38,-1.14,-.24,.77,-.36,.66,.3,-.78,-.01,.7,-.17,.39,.72
85,NIFTY Midcap150 Quality 50,-2.26,-.04,-.37,-.88,.4,-.07,-.42,.42,.43,.34,.07,.28,.09,.89,.49
86,Nifty200 Momentum 30,-3.04,-.88,-1.13,-1.51,.36,.34,-.63,.39,-.05,-.15,.66,.48,-.02,1.19,.73
87,Nifty100 ESG Sector Leaders,-1.67,-1.09,-.56,-1.36,-.37,.74,-.25,.14,0,-.33,-.11,1.05,.14,.73,.7
88,Nifty200 Alpha 30,-2.65,.02,-.53,-1.28,.63,.45,-.84,.57,.14,-.16,.7,.3,-.02,.85,1
89,Nifty Midcap150 Momentum 50,-2.93,-.25,-.76,-.68,1.24,-.48,-.4,.67,.06,.68,1.05,.66,1.17,.88,1.08
90,Nifty Smallcap250 Quality 50,-2.54,-.6,-.87,-.65,.45,-.48,-.96,.79,.92,.62,.69,1.29,.39,.95,1.09
91,NIFTY100 ESG,-1.81,-.94,-.62,-1.28,-.34,.53,-.17,.3,.22,-.38,.02,.92,.22,.71,.62
92,NIFTY100 Enhanced ESG,-1.81,-.95,-.62,-1.28,-.34,.53,-.17,.3,.21,-.38,.02,.92,.22,.71,.62
93,NIFTY50 Equal Weight,-1.62,-.62,-.49,-1.4,-.4,.63,-.46,.31,-.09,-.29,.02,.79,-.15,.75,.67
94,Nifty 50 Futures Index,-1.65,-.98,-.66,-1.3,-.37,.74,-.35,.21,-.05,-.36,.08,.83,.06,.49,.51
95,Nifty 50 Arbitrage,.08,-.02,.07,-.03,0,.11,-.01,-.05,.01,.1,-.12,.11,-.01,.17,.08
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.01,-.19,.07,-.09,-.04,.09,-.1,-.06,.06,.18,-.33,.03,.18,0,.25
98,Nifty 4-8 yr G-Sec Index,-.01,-.16,.04,-.05,0,.03,-.05,-.04,.1,.11,-.26,.02,.06,.04,.34
99,Nifty 11-15 yr G-Sec Index,-.02,-.26,.11,-.14,.06,.11,-.03,-.04,.04,.25,-.41,0,.2,.01,.31
100,Nifty 15 yr and above G-Sec Index,-.13,-.45,.09,-.17,-.09,.28,.02,-.14,.04,.29,-.43,.07,.32,-.04,.37
101,Nifty Composite G-sec Index,-.01,-.23,.08,-.1,-.02,.1,-.07,-.06,.06,.18,-.33,.03,.18,0,.28
102,Nifty 10 yr Benchmark G-Sec,-.01,-.23,.08,-.11,-.06,.06,-.1,-.07,.1,.18,-.4,.06,.22,-.01,.33
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.03,-.26,.06,-.13,-.08,.04,-.12,-.09,.08,.16,-.42,.04,.2,-.03,.31
104,Nifty 1D Rate Index,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05
105,Nifty50 USD,,-1.17,-.63,-1.38,-.49,.98,-.41,.14,-.18,-.28,-.08,1,-.01,.76,.35
